City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,ziro,27.6333,93.8333,6.92,91,51,0.79,IN,1680103771
243,shingu,33.7333,135.9833,9.61,72,95,2.35,JP,1680103772
244,zaraza,9.3503,-65.3245,32.21,32,62,2.68,VE,1680103772
245,la ronge,55.1001,-105.2842,-11.86,52,75,0.0,CA,1680103773
246,aripuana,-9.1667,-60.6333,28.0,82,95,1.2,BR,1680103598
247,bure,10.7,37.0667,24.09,30,100,2.35,ET,1680103774
248,techiman,7.5862,-1.9414,30.9,48,100,2.2,GH,1680103774
249,bengkulu,-3.8004,102.2655,25.08,87,100,2.27,ID,1680103775
250,menongue,-14.6585,17.691,23.2,75,89,0.98,AO,1680103775
251,rajgarh,28.6333,75.3833,27.91,27,48,2.28,IN,1680103555
252,longyearbyen,78.2186,15.6401,-12.09,79,40,2.57,SJ,1680103776
253,isangel,-19.55,169.2667,25.26,87,39,3.2,VU,1680103777
254,male,4.1748,73.5089,28.97,79,20,2.06,MV,1680103777
255,atar,20.5169,-13.0499,37.14,5,0,1.24,MR,1680103778
256,la palma,33.8464,-118.0467,12.12,94,100,3.6,US,1680103778
257,zhigansk,66.7697,123.3711,-22.69,96,100,1.39,RU,1680103779
258,san quintin,30.4833,-115.95,13.3,75,0,4.41,MX,1680103779
259,pevek,69.7008,170.3133,-22.52,100,53,1.45,RU,1680103780
260,dhidhdhoo,6.8833,73.1,28.53,75,100,4.6,MV,1680103780
261,thunder bay,48.4001,-89.3168,-9.01,53,20,6.69,CA,1680103781
262,dioknisi,41.6293,42.3917,5.93,97,100,1.17,GE,1680103781
263,kuah,6.3265,99.8432,27.99,78,20,1.54,MY,1680103782
264,port hawkesbury,45.6169,-61.3485,3.57,95,100,4.63,CA,1680103782
265,bahir dar,11.5936,37.3908,28.06,21,100,3.67,ET,1680103783
266,port hardy,50.6996,-127.4199,5.0,100,75,1.03,CA,1680103650
267,chlumec nad cidlinou,50.1544,15.4603,8.1,72,100,3.71,CZ,1680103784
268,barquisimeto,10.0739,-69.3228,26.35,61,75,5.66,VE,1680103784
269,mount isa,-20.7333,139.5,22.87,83,25,0.0,AU,1680103785
270,neu wulmstorf,53.4667,9.8,11.04,80,100,4.12,DE,1680103529
271,jalu,29.0331,21.5482,21.74,20,0,6.7,LY,1680103785
272,vyazemskiy,47.5378,134.7525,7.27,50,100,6.83,RU,1680103786
273,valparaiso,-33.0393,-71.6273,26.13,53,0,3.6,CL,1680103756
274,caravelas,-17.7125,-39.2481,30.02,46,3,3.63,BR,1680103637
275,dire,12.2833,-10.9667,41.88,6,86,2.43,ML,1680103787
276,teodoro sampaio,-22.5325,-52.1675,29.13,67,6,2.99,BR,1680103788
277,nelson bay,-32.7167,152.15,20.56,76,70,3.58,AU,1680103788
278,lorengau,-2.0226,147.2712,27.28,74,53,1.19,PG,1680103789
